EMAP_HEX,EPA2_code,NA_L2NAME
302,8.1,MIXED WOOD PLAINS
402,8.1,MIXED WOOD PLAINS
403,8.1,MIXED WOOD PLAINS
404,8.1,MIXED WOOD PLAINS
419,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
420,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
503,8.1,MIXED WOOD PLAINS
504,8.1,MIXED WOOD PLAINS
505,8.1,MIXED WOOD PLAINS
506,8.1,MIXED WOOD PLAINS
507,8.1,MIXED WOOD PLAINS
519,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
520,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
605,8.1,MIXED WOOD PLAINS
606,8.1,MIXED WOOD PLAINS
607,8.1,MIXED WOOD PLAINS
608,8.1,MIXED WOOD PLAINS
609,8.1,MIXED WOOD PLAINS
610,8.1,MIXED WOOD PLAINS
611,8.1,MIXED WOOD PLAINS
612,8.1,MIXED WOOD PLAINS
621,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
622,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
623,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
624,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
708,8.1,MIXED WOOD PLAINS
709,8.1,MIXED WOOD PLAINS
710,8.1,MIXED WOOD PLAINS
711,8.1,MIXED WOOD PLAINS
712,8.1,MIXED WOOD PLAINS
713,8.1,MIXED WOOD PLAINS
714,8.1,MIXED WOOD PLAINS
715,8.1,MIXED WOOD PLAINS
716,8.1,MIXED WOOD PLAINS
726,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
727,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
728,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
812,8.1,MIXED WOOD PLAINS
813,8.1,MIXED WOOD PLAINS
814,8.1,MIXED WOOD PLAINS
815,8.1,MIXED WOOD PLAINS
816,8.1,MIXED WOOD PLAINS
817,8.1,MIXED WOOD PLAINS
818,8.1,MIXED WOOD PLAINS
819,8.1,MIXED WOOD PLAINS
820,8.1,MIXED WOOD PLAINS
821,8.1,MIXED WOOD PLAINS
829,8.1,MIXED WOOD PLAINS
830,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
831,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
832,8.1,MIXED WOOD PLAINS
833,8.1,MIXED WOOD PLAINS
916,8.1,MIXED WOOD PLAINS
917,8.1,MIXED WOOD PLAINS
918,8.1,MIXED WOOD PLAINS
919,8.1,MIXED WOOD PLAINS
920,8.1,MIXED WOOD PLAINS
921,8.1,MIXED WOOD PLAINS
922,8.1,MIXED WOOD PLAINS
923,8.1,MIXED WOOD PLAINS
924,8.1,MIXED WOOD PLAINS
925,8.1,MIXED WOOD PLAINS
926,8.1,MIXED WOOD PLAINS
927,8.1,MIXED WOOD PLAINS
928,8.1,MIXED WOOD PLAINS
933,8.1,MIXED WOOD PLAINS
934,8.1,MIXED WOOD PLAINS
935,8.1,MIXED WOOD PLAINS
936,8.1,MIXED WOOD PLAINS
937,8.1,MIXED WOOD PLAINS
938,8.1,MIXED WOOD PLAINS
939,8.1,MIXED WOOD PLAINS
940,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
941,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
967,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
1021,8.1,MIXED WOOD PLAINS
1022,8.1,MIXED WOOD PLAINS
1023,8.1,MIXED WOOD PLAINS
1024,8.1,MIXED WOOD PLAINS
1025,8.1,MIXED WOOD PLAINS
1026,8.1,MIXED WOOD PLAINS
1027,8.1,MIXED WOOD PLAINS
1028,8.1,MIXED WOOD PLAINS
1029,8.1,MIXED WOOD PLAINS
1030,8.1,MIXED WOOD PLAINS
1031,8.1,MIXED WOOD PLAINS
1032,8.1,MIXED WOOD PLAINS
1033,8.1,MIXED WOOD PLAINS
1034,8.1,MIXED WOOD PLAINS
1035,8.1,MIXED WOOD PLAINS
1036,8.1,MIXED WOOD PLAINS
1037,8.1,MIXED WOOD PLAINS
1038,8.1,MIXED WOOD PLAINS
1039,8.1,MIXED WOOD PLAINS
1040,8.1,MIXED WOOD PLAINS
1041,8.1,MIXED WOOD PLAINS
1042,8.1,MIXED WOOD PLAINS
1043,8.1,MIXED WOOD PLAINS
1044,8.1,MIXED WOOD PLAINS
1045,8.1,MIXED WOOD PLAINS
1046,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
1047,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
1048,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
