REGION,Group_Code ,Scientific_Name,Numeric_Code 
1.1,A ,PIPO ,100
1.1,A ,PIPO/AGSP ,130
1.1,A ,PIPO/FEID ,140
1.1,A ,PIPO/FEID-FEID ,141
1.1,A ,PIPO/FEID-FESC ,142
1.1,A ,PIPO/PURT ,160
1.1,A ,PIPO/PURT-AGSP ,161
1.1,A ,PIPO/PURT-FEID ,162
1.1,A ,PIPO/SYAL ,170
1.1,A ,PIPO/SYAL-SYAL ,171
1.1,A ,PIPO/SYAL-BERE ,172
1.1,A ,PSME/AGSP ,210
1.1,A ,PSME/FEID ,220
1.1,A ,PSME/FESC ,230
1.1,B ,PIPO/PRIV ,180
1.1,B ,PIPO/PRIV-PRIV ,181
1.1,B ,PIPO/PRIV-SHCA ,182
1.1,B ,PSME/PHMA ,260
1.1,B ,PSME/PHMA-SMST ,263
1.1,B ,PSME/PHMA-PHMA ,261
1.1,B ,PSME/PHMA-CARU ,262
1.1,B ,PSME/SYAL ,310
1.1,B ,PSME/VAGL ,280
1.1,B ,PSME/VAGL-VAGL ,281
1.1,B ,PSME/VAGL-ARUV ,282
1.1,B ,PSME/VAGL-XETE ,283
1.1,B ,PSME/VACA ,250
1.1,B ,PSME/SYAL ,310
1.1,B ,PSME/SYAL-AGSP ,311
1.1,B ,PSME/SYAL-CARU ,312
1.1,B ,PSME/SYAL-SYAL ,313
1.1,B ,PSME/CARU ,320
1.1,B ,PSME/CARU-AGSP ,321
1.1,B ,PSME/CARU-ARUV ,322
1.1,B ,PSME/CARU-CARU ,323
1.1,B ,PSME/CARU-PIPO ,324
1.1,B ,PSME/CAGE ,330
1.1,B ,PSME/SPBE ,340
1.1,B ,PSME/ARUV ,350
1.1,B ,PSME/JUCO ,360
1.1,B ,PSME/ARCO ,370
1.1,B ,PSME/SYOR ,380
1.1,B,PICEA/PHMA ,430
1.1,C ,ABGR/SETR ,529
1.1,C ,ABGR/ASCA ,516
1.1,C ,ABGR/ASCA-MEFE ,518
1.1,C ,ABGR/ASCA-ASCA ,517
1.1,C ,ABGR/CLUN ,520
1.1,C ,ABLA/CLUN-ARNU ,522
1.1,C ,ABGR/CLUN-MEFE ,525
1.1,C ,ABGR/CLUN-PHMA ,524
1.1,C ,ABGR/CLUN-CLUN ,521
1.1,C1 ,ABGR/ASCA-TABR ,519
1.1,C2,ABGR/CLUN-TABR ,526
1.1,D ,PSME/LIBO ,290
1.1,D ,PSME/LIBO-SYAL ,291
1.1,D ,PSME/LIBO-CARU ,292
1.1,D ,PSME/LIBO-VAGL ,293
1.1,D ,ABGR/LIBO ,590
1.1,D ,ABGR/LIBO-XETE ,592
1.1,D ,ABGR/LIBO-LIBO ,591
1.1,D ,ABGR/VAGL ,515
1.1,D ,ABGR/XETE ,510
1.1,D ,ABGR/XETE-COOC ,511
1.1,D ,ABGR/XETE-VAGL ,512
1.1,D ,ABGR/CLUN-XETE ,523
1.1,E ,ABGR/PHMA ,506
1.1,E ,ABGR/PHMA-COOC ,507
1.1,E ,ABGR/PHMA-PHMA ,508
1.1,E ,ABGR/SPBE ,505
1.1,F ,THPL/OPHO ,550
1.1,F ,THPL/ATFI ,540
1.1,F ,THPL/ATFI-ADPE ,541
1.1,F ,THPL/ATFI-ATFI ,542
1.1,F ,THPL/ADPE ,560
1.1,G ,THPL/CLUN-ARNU ,532
1.1,G ,THPL/GYDR ,555
1.1,G ,THPL/ASCA ,545
1.1,G ,THPL/ASCA-MEFE ,547
1.1,G ,THPL/ASCA-ASCA ,546
1.1,G ,THPL/CLUN ,530
1.1,G ,THPL/CLUN-MEFE ,533
