Group_Code ,Scientific_Name,Numeric_Code ,,,,
A ,PIFL  ,90,,,,
A ,PIFL/AGSP ,91,,,,
A ,PIFL/FEID ,92,,,,
A ,PIFL/FEID-FEID ,93,,,,
A ,PIFL/FEID-FESC ,94,,,,
A ,PIFL/JUCO ,95,,,,
A ,PIPO ,100,,,,
A ,PIPO/JUSC2 ,105,,,,
A ,PIPO/MARE11 ,106,,,,
A ,PIPO/AND ,110,,,,
A ,PIPO/AGSP ,130,,,,
A ,PIPO/FEID ,140,,,,
A ,PIPO/FEID-FEID ,141,,,,
A ,PIPO/FEID-FESC ,142,,,,
A ,PIPO/SYOC ,150,,,,
A ,JUSC2/PSSPS ,151,,,,
A ,PIPO/PUTR ,160,,,,
A ,PIPO/PUTR-AGSP ,161,,,,
A ,PIPO/PUTR-FEID ,162,,,,
A ,PIPO/SYAL ,170,,,,
A ,PIPO/SYAL-SYAL ,171,,,,
A ,PIPO/PRVI ,180,,,,
A ,PIPO/PRVI-PRVI ,181,,,,
A ,PIPO/PRIVI-SHCA ,182,,,,
A ,PIPO/PHMA ,190,,,,
A ,PSME/AGSP ,210,,,,
A ,PSME/FEID ,220,,,,
A ,PSME/FESC ,230,,,,
A ,PSME/SYAL-AGSP ,311,,,,
A ,PSME/CARU-AGSP ,321,,,,
A ,PSME/ARUV ,350,,,,
A ,PSME/JUCO ,360,,,,
A ,PSME/ARCO ,370,,,,
A ,PSME/SYOR ,380,,,,
A ,PSME/JUSC2 ,390,,,,
B,PSME/PHMA-SMST ,263,,,,
B,PSME/CARU ,320, ,,,
B,SME/CARU-ARUV ,322,,,,
B,PSME/CARU-CARU ,323,,,,
B,PSME/CARU-PIPO ,324,,,,
B,PSME/CAGE ,330,,,,
B,PSME/SPBE ,340,,,, 
B,PICO/PUTR ,910,,,, 
C ,PSME/MARE11 ,240,,,,
C ,PSME/VACA ,250,,,,
C ,PSME/PHMA ,260,,,,
C ,PSME/VAGL-ARUV ,282,,,,
C ,PSME/PHMA-PHMA ,261,,,,
C ,PSME/PHMA-CARU ,262,,,,
C ,PSME/SYAL ,310,,,,
C ,PSME/SYAL-CARU ,312,,,,
C ,PSME/SYAL-SYAL ,313,,,,
C ,PICEA/PHMA ,430,,,,
D ,PSME/VAGL ,280,,,,
D ,PSME/VAGL-XETE ,281,,,,
D ,PSME/VAGL-VAGL ,283,,,,
D ,PSME/LIBO ,290,,,,
D ,PSME/LIBO-SYAL ,291,,,,
D ,PSME/LIBO-CARU ,292,,,,
D ,PSME/LIBO-VAGL ,293,,,,
D ,PICEA/LIBO ,470,,,,
D ,PICEA/LIBO3/LIBO3 ,472,,,,
D ,PICEA/SMST ,480,,,,
D ,ABLA/LIBO ,660,,,,
D ,ABLA/LIBO-LIBO ,661,,,,
D ,ABLA/LIBO-XETE ,662,,,,
D ,ABLA/LIBO-VASC ,663,,,,
D ,PICO/LIBO ,940,,,,
E ,PICEA/EQAR ,410,,,,
E ,PICEA/CLUN ,420,,,,
E ,PICEA/CLUN-VACA ,421,,,,
E ,PICEA/CLUN-CLUN ,422,,,,
E ,PICEA/GATR ,440,,,,
E ,ABLA/CLUN ,620,,,,
E ,ABLA/CLUN-CLUN ,621,,,,
E ,ABLA/CLUN-ARNU ,622,,,,
E ,ABLA/CLUN-VACA ,623,,,,
E ,ABLA/CLUN-XETE ,624,,,,
E ,ABLA/CLUN-MEFE ,625,,,,
E ,ABLA/GATR ,630,,,,
E ,ALBL/GATR/VASC ,632,,,,
E ,ABLA/CACA ,650,,,,
E ,ABLA/CACA-CACA ,651,,,,
E ,ABLA/CACA-GATR ,653,,,,
E ,ABLA/CACA-VACA ,654,,,,
E ,ABLA/CACA-LEGL ,655,,,,
F ,PICEA/VACA ,450,,,,
F ,ABLA/SYAL ,607,,,,
F ,ABLA/VACA ,640,,,,
F ,ABLA/XETE-VAGL ,691,,,,
F ,ABLA/XETE-VASC ,692,,,,
F ,ABLA/XETE ,690,,,,
F ,TSME/XETE ,710,,,,
F ,ABLA/VAGL ,720,,,,
F ,ABLA/VASC ,730,,,,
F ,ABLA/VASC-CARU ,731,,,,
F ,ABLA/VASC-VASC ,732,,,,
F ,ABLA/VASC-THOC ,733,,,,
F ,PICO/VACA ,920,,,,
F ,PICO/VASC ,940,,,,
F ,PICO/CARU ,950,,,,
F ,PICO/JUCO6 ,960,,,,
G ,ABLA/MEFE ,670,,,,
G ,ABLA/ALSI ,740,,,,
H , PICEA/SEST ,460,,,,
H ,PICA/JUCO6 ,475,,,,
H ,ABLA/JUCO6 ,745,,,,
H ,ABLA/CARU ,750,,,,
H ,ABLA/CLPS ,770,,,,
H ,PICEA/SEST-PSME ,461,,,,
H ,PICEA/SEST-PICEA ,462,,,,
H ,ABLA/ARCO ,780,,,,
H ,ABLA/CAGE-CAGE ,791,,,,
H ,ABLA/CAGE-PSME ,792,,,,
H ,ABLA/CAGE ,790,,,,
 I ,TSME/MEFE ,680,,,,
 I ,ABLA/RIMO ,810,,,,
 I ,ABLA-PIAL/VASC ,820,,,,
 I ,ABLA/LUHI ,830,,,,
 I ,ABLA/LUHI-VASC ,831,,,,
 I ,ABLA/LUHI-MEFE ,832,,,,
 I ,TSME/LUHI ,840,,,,
 I ,TSME/LUHI-VASC ,841,,,,
 I ,TSME/LUHI-XETE ,842,,,,
 J ,PIAL-ABLA ,850,,,,
 J ,LALY-ABLA ,860,,,,
 J ,  TIMBERLINE ,890,,,,
 J ,  PIAL ,870,,,,
