Group_Code ,Scientific_Name,Numeric_Code 
A ,PIFL/AGSP ,91
A ,PIFL/FIED ,92
A ,PIFL/FIED-FIED ,93
A ,PIFL/FIED-FESC ,94
A ,PIFL/JUCO ,95
A ,PIPO/AND ,110
A ,PIPO/AGSP ,130
A ,PIPO/FEID ,140
A ,PIPI/FEID-FEID ,141
A ,PIPO/FEID-FESC ,142
A ,PIPO/PUTR ,160
A ,PIPO/PUTR-AGSP ,161
A ,PIPO/PUTR-FEID ,162
A ,PIPO/SYAL ,170
A ,PIPO/SYAL-SYAL ,171
A ,PIPO/PRVI ,180
A ,PIPO/PRVI-PRIV ,181
A ,PIPO/PRIV-SHCA ,182
A ,PIPO/PHMA ,190
A ,PSME/AGSP ,210
A ,PSME/FEID ,220
A ,PSME/FESC ,230
A ,PSME/SYAL-AGSP ,311
A ,PSME/CARU-AGSP ,321
A ,PSME/ARUV ,350
B ,PSME/VACA ,250
B ,PSME/PHMA ,260
B ,PSME/PHMA-PHMA ,261
B ,PSME/PHMA-CARU ,262
B ,PSME/PHMA-SMST ,263
B ,PSME/VAGL-ARUV ,282
B ,PSME/SYAL ,310
B ,PSME/SYAL-CARU ,312
B ,PSME/SYAL-SYAL ,313
B ,PSME/CARU-ARUV ,322
B ,PSME/CARU-PIPO ,324
B ,PSME/SPBE ,340
B ,PSME/SYOR ,380
B ,ABGR/SPBE ,505
B ,ABGR/PHMA ,506
B ,ABGR/PHMA-COOC ,507
B ,ABGR/PHMA/PHMA ,508
C,PSME/VAGL ,280
C,PSME/VAGL-VAGL ,280
C,PSME/VAGL-XETE ,283
C,PSME/LIBO-CARU ,292
C,PSME/CARU  ,320
C,PSME/CARU-CARU ,323
C,PSME/JUCO ,360
C,PSME/ARCO ,370
C,ABGR/XETE ,510
C,ABGR/XETE-COOC ,511
C,ABGR/XETE-VAGL ,512
C,ABGR/VAGL ,515
C,ABLA/CARU ,750
D ,ABGR/VAGL ,516
D ,ABGR/ASCR ,517
D ,ABGR/ASCA-MEFE ,518
D ,ABGR/ASCA-TABR ,519
D ,ABGR/CLUN ,520
D ,ABGR/CLUN-CLUN ,521
D ,ABGR/CLUN-ARNU ,522
D ,ABGR/CLUN-XETE ,523
D ,ABGR/CLUN-PHMA ,524
D ,ABGR/CLUN-MEFE ,525
D ,ABGR/CLUN-TABR ,526
D ,ABGR/SETR ,529
D ,THPL/CLUN ,530
D ,THPL/CLUN-CLUN ,531
D ,THPL/CLUN-ARNU ,532
D ,THPL/CLUN-MEFE ,533
D ,THPL/CLUN-XETE ,534
D ,THPL/CLUN-TABR ,535
D ,THPL/ASCA ,545
D ,THPL/ASCA-ASCA ,546
D ,THPL/ASCA-MEFE ,547
D ,THPL/ASCA-TABR ,548
D ,THPL/GYDR ,555
D ,TSHE/GYDR ,565
D ,TSHE/CLUN ,570
D ,TSHE/CLUN-CLUN ,571
