Group_Code ,Scientific_Name,Numeric_Code 
A ,PIPO ,100
A ,PIPO/AGSP ,130
A ,PIPO/FEID ,140
A ,PIPO/FEID-FEID ,141
A ,PIPO/FEID-FESC ,142
A ,PIPO/PURT ,160
A ,PIPO/PURT-AGSP ,161
A ,PIPO/PURT-FEID ,162
A ,PIPO/SYAL ,170
A ,PIPO/SYAL-SYAL ,171
A ,PIPO/SYAL-BERE ,172
A ,PSME/AGSP ,210
A ,PSME/FEID ,220
A ,PSME/FESC ,230
B ,PIPO/PRIV ,180
B ,PIPO/PRIV-PRIV ,181
B ,PIPO/PRIV-SHCA ,182
B ,PSME/PHMA ,260
B ,PSME/PHMA-SMST ,263
B ,PSME/PHMA-PHMA ,261
B ,PSME/PHMA-CARU ,262
B ,PSME/SYAL ,310
B ,PSME/VAGL ,280
B ,PSME/VAGL-VAGL ,281
B ,PSME/VAGL-ARUV ,282
B ,PSME/VAGL-XETE ,283
B ,PSME/VACA ,250
B ,PSME/SYAL ,310
B ,PSME/SYAL-AGSP ,311
B ,PSME/SYAL-CARU ,312
B ,PSME/SYAL-SYAL ,313
B ,PSME/CARU ,320
B ,PSME/CARU-AGSP ,321
B ,PSME/CARU-ARUV ,322
B ,PSME/CARU-CARU ,323
B ,PSME/CARU-PIPO ,324
B ,PSME/CAGE ,330
B ,PSME/SPBE ,340
B ,PSME/ARUV ,350
B ,PSME/JUCO ,360
B ,PSME/ARCO ,370
B ,PSME/SYOR ,380
B,PICEA/PHMA ,430
C ,ABGR/SETR ,529
C ,ABGR/ASCA ,516
C ,ABGR/ASCA-MEFE ,518
C ,ABGR/ASCA-ASCA ,517
C ,ABGR/CLUN ,520
C ,ABLA/CLUN-ARNU ,522
C ,ABGR/CLUN-MEFE ,525
C ,ABGR/CLUN-PHMA ,524
C ,ABGR/CLUN-CLUN ,521
C1 ,ABGR/ASCA-TABR ,519
C2,ABGR/CLUN-TABR ,526
D ,PSME/LIBO ,290
D ,PSME/LIBO-SYAL ,291
D ,PSME/LIBO-CARU ,292
D ,PSME/LIBO-VAGL ,293
D ,ABGR/LIBO ,590
D ,ABGR/LIBO-XETE ,592
D ,ABGR/LIBO-LIBO ,591
D ,ABGR/VAGL ,515
D ,ABGR/XETE ,510
D ,ABGR/XETE-COOC ,511
D ,ABGR/XETE-VAGL ,512
D ,ABGR/CLUN-XETE ,523
E ,ABGR/PHMA ,506
E ,ABGR/PHMA-COOC ,507
E ,ABGR/PHMA-PHMA ,508
E ,ABGR/SPBE ,505
F ,THPL/OPHO ,550
F ,THPL/ATFI ,540
F ,THPL/ATFI-ADPE ,541
F ,THPL/ATFI-ATFI ,542
F ,THPL/ADPE ,560
G ,THPL/CLUN-ARNU ,532
G ,THPL/GYDR ,555
G ,THPL/ASCA ,545
G ,THPL/ASCA-MEFE ,547
G ,THPL/ASCA-ASCA ,546
G ,THPL/CLUN ,530
G ,THPL/CLUN-MEFE ,533
G ,THPL/CLUN-CLUN ,531
G ,THPL/CLUN-XETE ,534
G ,TSHE/GYDR ,565
G ,TSHE/ASCA ,575
G ,TSHE/ASCA-ARNU ,576
G ,TSHE/ASCA-MEFE ,577
G ,TSHE/ASCA-ASCA ,578
G ,TSHE/CLUN ,570
G ,TSHE/CLUN-ARNU ,572
G ,TSHE/CLUN-MEFE ,574
