CN,HABTYPCD,PUB_CD,SCIENTIFIC_NAME,COMMON_NAME,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.97237E+14,CMF211,653,TSME/CLUN,Mountain hemlock/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMF221,653,TSME/ACTR,mountain hemlock/vanilla leaf,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMF231,653,TSME/LIBO2,mountain hemlock/twinflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS313,653,TSME/PHEM-VADE,mountain hemlock/pink mountain heath-Cascade bilberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMG221,653,TSME/LUHI,mountain hemlock/smooth woodrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMF321,653,TSME/BENE,mountain hemlock/Cascade Oregongrape,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS232,653,TSME/VAME,mountain hemlock/thinleaf huckleberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS216,653,TSME/VAME/XETE,mountain hemlock/thinleaf huckleberry/common beargrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS841,653,TSME/CACH,mountain hemlock/golden chinquapin,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMF141,653,TSME/XETE,mountain hemlock/common beargrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMF331,653,TSME/CHUM,mountain hemlock/common prince's pine,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CMS111,653,TSME/VASC,mountain hemlock/grouse whortleberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS117,653,TSME/ARNE,mountain hemlock/pinemat manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMG341,653,TSME/CAIN4,mountain hemlock/long-stolon sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFM112,653,ABAM/LYAM,Pacific silver fir/American skunkcabbage,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFF121,653,ABAM/ASCA3,Pacific silver fir/wild ginger,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFF142,653,ABAM/CLUN,Pacific silver fir/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFF252,653,ABAM/ACTR,Pacific silver fir/vanilla leaf,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFF511,653,ABAM/LIBO2,Pacific silver fir/twinflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS251,653,ABAM/VAME/XETE,Pacific silver fir/thinleaf huckleberry/common beargrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS270,653,ABAM/VAME,Pacific silver fir/thinleaf huckleberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS410,653,ABAM/VASC,Pacific silver fir/grouse whortleberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHM121,653,TSHE/LYAM,western hemlock/skunk cabbage,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF313,653,TSHE/ASCA3,western hemlock/wild ginger,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF311,653,TSHE/CLUN,western hemlock/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF221,653,TSHE/ACTR,western hemlock/vanilla leaf,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF321,653,TSHE/LIBO2,western hemlock/twinflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CCF221,653,THPL/CLUN,western red cedar/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CCF211,653,THPL/LIBO2,western red cedar/twinflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWF551,653,ABCO-ABGR/ASCA3,white fir-grand fir/wild ginger,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF431,653,ABCO-ABGR/CLUN,white fir-grand fir/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF522,653,ABCO-ABGR/ACTR,white fir-grand fir/vanilla leaf,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF341,653,ABCO-ABGR/LIBO2,white fir-grand fir/twinflower,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF521,653,ABCO-ABGR/TRLA2,white fir-grand fir/western starflower,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS533,653,ABCO-ABGR/CACH,white fir-grand fir/golden chinquapin,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF562,653,ABCO-ABGR/SMST,white fir-grand fir/starry false-solomonseal,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS361,653,ABCO-ABGR/SYMO,white fir-grand fir/creeping snowberry,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF241,653,ABCO-ABGR/CHUM,white fir-grand fir/common prince's pine,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS531,653,ABCO-ABGR/HODI,white fir-grand fir/oceanspray,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS362,653,ABCO-ABGR/SYAL,white fir-grand fir/common snowberry,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWG141,653,ABCO-ABGR/CARU,white fir-grand fir/pinegrass,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS363,653,ABCO-ABGR/ARNE,white fir-grand fir/pinemat manzanita,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWG142,653,ABCO-ABGR/CAIN4,white fir-grand fir/long-stolon sedge,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS364,653,ABCO-ABGR/CEPR,white fir-grand fir/mahala mat,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWF741,653,ABCO-ABGR/WYMO,white fir-grand fir/woolly mule-ears,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CWS141,653,ABCO-ABGR/ARPA,white fir-grand fir/greenleaf manzanita,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
