region,Forest_Region,OG_Type,FIA_Code,Stand_Age,Large_Tree_Diameter,Trees_Per_Acre,c.PHYSCLCD,t.spcd,p.statecd,c.siteclcd,c.adforcd,p.ECOSUBCD
4,4,Engelmann SpruceSubalpine Fir-Warm-UT,"265, 261",220,20,25,,,STATECD != 16,,,
4,4,Engelmann SpruceSubalpine Fir-Warm-UT,266,220,20,25,PHYSCLCD == 21,,,,,
4,4,Engelmann SpruceSubalpine Fir-Warm-UT,266,220,20,25,,"!(SPCD %in% c(113,101,72))",,,,
4,4,Engelmann SpruceSubalpine Fir-Warm-ID,"265, 261",220,24,25,,,STATECD == 16,,,
4,4,Engelmann SpruceSubalpine Fir-Warm-ID,266,220,24,25,PHYSCLCD > 20,,,,,
4,4,Engelmann SpruceSubalpine Fir-Warm-ID,266,220,24,25,,"!(SPCD %in% c(113,101,72))",,,,
4,4,Engelmann SpruceSubalpine Fir-Cold,266,150,15,15,PHYSCLCD < 20,,,,,
4,4,Engelmann SpruceSubalpine Fir-Cold,266,150,15,15,,"SPCD %in% c(113, 101, 72)",,,,
4,4,Engelmann SpruceSubalpine Fir-Cold,268,150,15,15,,,,SITECLCD  < 7,,
4,4,Engelmann SpruceSubalpine Fir-Alpine,268,150,12,10,,,,SITECLCD  == 7,,
4,4,Whitebark Pine,367,250,18,15,,,,,,
4,4,Bristlecone Pine,365,300,10,5,,,,,,
4,4,Douglas-Fir-High ,201,200,24,15,,,,SITECLCD  < 6,,
4,4,Douglas-Fir-Low,201,200,18,10,,,,SITECLCD  >= 6,,
4,4,Grand Fir,267,200,24,15,,,,,,
4,4,Blue Spruce,269,250,16,10,,,,,,
4,4,Conifer Mixed Forests-Low,"371, 262",256,29,11,PHYSCLCD < 20,,,,,
4,4,Conifer Mixed ForestsProductive,"371, 262",188,39,10,PHYSCLCD > 20,,,,,
4,4,Aspen-Dry,901,100,12,10,PHYSCLCD > 20,,,,,
4,4,Aspen-Mesic,901,100,12,20,,,,,,
4,4,Lodgepole Pine,281,140,11,25,,,,,,
4,4,Limber Pine-Lower,366,25,16,10,,,,SITECLCD  > 6,,
4,4,Limber Pine-Montane,366,500,16,10,,,,SITECLCD  <= 6,,
4,4,Ponderosa Pine-N-Seral,"220, 221, 222, 225",200,24,10,,,,SITECLCD  > 5,"ADFORCD %in% c(402, 412, 413, 414)",
4,4,Ponderosa Pine-N-Climax,"220, 221, 222, 225",200,24,5,,,,SITECLCD  <= 5,"ADFORCD %in% c(402, 412, 413, 414)",
4,4,Ponderosa Pine-RM-Seral,"220, 221, 222, 225",200,20,14,,,,SITECLCD  > 5,"!(ADFORCD %in% c(402, 412, 413, 414))",
4,4,Ponderosa Pine-RM-Climax,"220, 221, 222, 225",200,16,7,,,,SITECLCD <= 5,"!(ADFORCD %in% c(402, 412, 413, 414))",
4,4,Pinyon-Juniper-NW-Low,"182, 184, 185",200,12,12,,,,,"ADFORCD %in% c(402,403,412,413,414,415,417,420)",
4,4,Pinyon-Juniper-NW-Low,"182, 184, 185",200,12,12,PHYSCLCD < 20,,,,"ADFORCD %in% c(418,419)","ECOSUBCD %in% c('M331Dn', 'M331Do', 'M331Dv', 'M331Di')"
4,4,Pinyon-Juniper-NW-High,"182, 184, 185",250,18,30,,,,,"ADFORCD %in% c(402,403,412,413,414,415,417,420)",
4,4,Pinyon-Juniper-NW-High,"182, 184, 185",250,18,30,PHYSCLCD > 20,,,,"ADFORCD %in% c(418,419)","ECOSUBCD %in% c('M331Dn', 'M331Do', 'M331Dv', 'M331Di')"
4,4,Pinyon-Juniper-SE-Low,"182, 184, 185",150,9,12,,,,,"ADFORCD %in% c(401,407,408,410)",
4,4,Pinyon-Juniper-SE-Low,"182, 184, 185",150,9,12,PHYSCLCD < 20,,,,"ADFORCD %in% c(418,419)","!(ECOSUBCD %in% c('M331Dn', 'M331Do', 'M331Dv', 'M331Di'))"
4,4,Pinyon-Juniper-SE-High,"182, 184, 185",200,12,30,,,,,"ADFORCD %in% c(401,407,408,410)",
4,4,Pinyon-Juniper-SE-High,"182, 184, 185",200,12,30,PHYSCLCD > 20,,,,"ADFORCD %in% c(418,419)","!(ECOSUBCD %in% c('M331Dn', 'M331Do', 'M331Dv', 'M331Di'))"
