region,Forest_Region,OG_Type,FIA_Code,Large_Tree_Diameter,Tree_Per_Acre,Dead_Tree_Diameter,Dead_Tree_Per_Acre,Downed_Trees_Per_Acre,Downed_Tree_Diameter,Diameter_Diversity_Index,Stand_Age,Site,Regional_Geography
6,6.1,Grand fir/white fir,"267, 260, 261, 262, 263, 265, 265, 266, 267, 268, 269, 270, 271",29.5,6,19.7,4,2,9.8,yes,200,,
6,6.1,Juniper,"182, 184, 185",19.7,6,,,,,,200,,
6,6.1,Mountain hemlock,270,29.5,4,19.7,5,2,9.8,yes,200,,
6,6.1,Oak woodland,"971, 922, 923, 924, 933, 934, 935",19.7,6,,,,,,200,,
6,6.1,Ponderosa pine,"220, 221, 222, 224, 225",29.5,4,,,,,,200,,
6,6.1,Port Orford cedar,"202, 231",29.5,5,19.7,6,1,9.8,yes,200,,
6,6.1,Redwood,"340, 341, 342",39.4,8,39.4,1,3,9.8,yes,200,,
6,6.1,Shasta red fir,"262, 371",29.5,10,19.7,4,1,9.8,yes,200,,
6,6.1,Silver fir,264,29.5,9,19.7,8,4,9.8,yes,200,,
6,6.1,Sitka spruce,305,39.4,7,39.4,5,6,9.8,yes,200,,
6,6.1,Subalpine,"268, 266",19.7,6,19.7,1,2,9.8,yes,200,,
6,6.1,Tanoak,"941, 942, 943",39.4,5,39.4,2,2,9.8,yes,200,,
6,6.1,Western hemlock,"301, 304, 305",39.4,4,39.4,3,4,9.8,yes,200,,
6,6.1,Douglas-fir,"200, 201, 202",29.5,3,19.7,1,1,9.8,yes,200,,
6,6.1,Lodgepole pine,"280, 281",9.8,60,,,,,,200,,
6,6.1,Jeffrey pine/knobcone pine,"225, 361",29.5,5,,,,,,200,,
6,6.2,White/Grand fir,"267, 261",21,15,,,,,,150,"1, 2",Central Oregon
6,6.2,White/Grand fir,"267, 261",21,10,,,,,,150,"3, 4, 5, 6, 7",Central Oregon
6,6.2,White/Grand fir,"267, 261",21,20,,,,,,150,"1, 2",Blue Mountains
6,6.2,White/Grand fir,"267, 261",21,10,,,,,,150,"3, 4, 5, 6, 7",Blue Mountains
6,6.2,Douglas-fir (interior),"200, 201",21,8,,,,,,150,"1, 2, 3, 4, 5, 6, 7",Eastside
6,6.2,Lodgepole pine,"280, 281",12,60,,,,,,120,"1, 2, 3, 4, 5, 6, 7",Central and southeast Oregon
6,6.2,Pacific silver fir,264,22,9,,,,,,260,"4, 5, 6, 7,",Westside
6,6.2,Pacific silver fir,264,22,1,,,,,,360,"4, 5, 6, 7",Westside
6,6.2,Pacific silver fir,264,26,6,,,,,,180,"3, 4, 5, 6, 7",Westside
6,6.2,Pacific silver fir,264,25,7,,,,,,200,"1, 2, 3, 4",Westside
6,6.2,Ponderosa pine,"220, 221",21,13,,,,,,150,"1, 2, 3, 4",Eastside
6,6.2,Ponderosa pine (very late decadent),"220, 221",31,3,,,,,,200,"1, 2, 3, 4",Eastside
6,6.2,Ponderosa pine,"220, 221",21,10,,,,,,150,"4, 5, 6, 7",Eastside
6,6.2,Ponderosa pine (very late decadent),"220, 221",31,2,,,,,,200,"4, 5, 6, 7",Eastside
6,6.2,Subalpine fir,268,21,10,,,,,,150,"1, 2",Eastside
6,6.2,Subalpine fir,268,13,10,,,,,,150,"4, 5, 6, 7",Eastside
6,6.2,Western hemlock,"300, 301",42,8,,,,,,200,"1, 2",Westside
6,6.2,Western hemlock,"300, 301",35,8,,,,,,200,"1, 2",Westside
6,6.2,Western hemlock,"300, 301",31,8,,,,,,200,"1, 2, 3, 4",Westside
6,6.2,Western hemlock,"300, 301",21,8,,,,,,200,"4, 5, 6, 7",Westside
