region,Forest_Region,FIA_Code,OG_Type,Stand_Age,Large_Tree_Diameter,Trees_Per_Acre
9,9,805,Beech maple basswood,141,16,10
9,9,"520, 800, 801, 802, 809",Northern hardwood,141,16,10
9,9,"162, 163, 165, 167, 182, 184, 404, 405, 500, 501, 502, 506, 507, 509, 510, 513, 515",Dry oak,101,16,20
9,9,"500, 503, 504, 505, 511, 512, 516",Mesic northern oak,161,20,5
9,9,"700, 701, 702, 703, 704, 705, 706, 707, 708, 709",Wetland hardwood,121,18,10
9,9,"104, 105, 401",Conifer northern hardwood,141,16,10
9,9,"100, 101, 102, 103, 104, 105",Northern pine,101,12,20
9,9,"120, 121, 123, 124, 128, 129",Montane spruce,141,15,10
9,9,"122, 125",Sub-boreal spruce/fir,141,12,10
9,9,"126, 127, 128, 129, 160, 171, 201, 269, 380, 381, 383, 384, 385, 391, 400, 402, 406, 409, 508, 514, 517, 519, 600, 601, 602, 605, 606, 607, 608, 609, 900, 901, 902, 903, 904, 905, 962, 991, 995",other,101,14,10
