PLT_CN,CONDID,MOG
6464147020004,1,0
10775507020004,1,1
13566007020004,1,1
13566007020004,2,1
14546577020004,1,2
14546578020004,1,2
14546592020004,1,0
14546593020004,1,2
14546598020004,1,2
14546599020004,1,0
14546600020004,1,2
14546601020004,1,2
14546602020004,1,2
14546606020004,1,0
14546607020004,1,2
14546609020004,1,2
14546616020004,1,0
14546617020004,1,0
14546618020004,1,0
14546618020004,2,0
14546621020004,1,0
14546623020004,1,2
14546624020004,1,2
14546625020004,1,0
14546627020004,1,2
14546628020004,1,1
14546629020004,1,2
14546630020004,1,1
14546631020004,1,2
14546637020004,1,1
14546638020004,1,2
14546639020004,1,2
14546641020004,1,1
14546642020004,1,2
14546645020004,1,2
14546649020004,1,2
14546650020004,1,1
14546651020004,1,2
14546653020004,1,1
14546654020004,1,2
14546661020004,1,2
14546662020004,2,2
14546663020004,1,1
14546664020004,1,1
14546665020004,1,0
14546669020004,1,0
14546671020004,2,2
14546676020004,1,2
14546677020004,1,2
14546678020004,1,2
14546686020004,1,2
14546689020004,1,2
14546689020004,2,2
14546690020004,1,2
14546691020004,2,2
14546704020004,1,2
14546714020004,1,0
14546745020004,1,2
14546757020004,2,2
14546781020004,1,0
14546792020004,1,1
14546844020004,1,0
14546890020004,1,1
14546923020004,1,2
14546945020004,1,0
14546953020004,1,1
14546962020004,1,0
14546965020004,1,2
14546984020004,1,1
14546989020004,1,2
14546990020004,1,1
14546993020004,1,2
14546996020004,1,1
14546999020004,1,2
14547000020004,1,0
14547001020004,1,2
14547001020004,2,0
14547003020004,1,2
14547004020004,1,1
14547007020004,1,0
14547011020004,1,0
14547013020004,1,2
14547033020004,2,0
14547038020004,1,1
14547041020004,1,1
14547042020004,1,2
14547046020004,1,1
14547047020004,1,1
14547049020004,2,1
14547049020004,3,1
14547052020004,1,1
14547057020004,1,1
14547058020004,1,0
14547065020004,1,0
14547081020004,1,1
14547095020004,1,1
14547105020004,1,0
14547106020004,1,1
14547107020004,1,0
14547110020004,1,2
14547111020004,1,2
14547112020004,1,2
14547113020004,1,0
14547114020004,1,0
14547115020004,1,2
14547117020004,1,0
14547118020004,1,2
14547119020004,1,2
14547120020004,1,0
14547120020004,2,0
14547121020004,2,2
14547122020004,3,0
14547126020004,1,1
14547127020004,1,0
14547127020004,2,2
14547150020004,1,2
14547158020004,1,2
14547160020004,2,0
14547161020004,1,2
14547162020004,1,2
14547163020004,1,0
14547164020004,1,0
14547166020004,1,2
14547167020004,1,2
14547168020004,1,2
14547169020004,1,2
14547170020004,1,0
14547171020004,1,2
