fgroupname,Vegtype
Alder / maple group,R1 Hardwoods
Aspen / birch group,R1 Hardwoods
Elm / ash / cottonwood group,R1 Hardwoods
Douglas-fir group,R1 Douglas fir
Fir / spruce / mountain hemlock group,R1 Fir / spruce / mountain hemlock group
Woodland hardwoods group,R1 Hardwoods
Hemlock / Sitka spruce group,R1 Hemlock / Sitka spruce group
Lodgepole pine group,R1 Lodgepole Pine
Oak / hickory group,R1 Hardwoods
Other western softwoods group,R1 Pinyon Juniper - Western Softwoods
Pinyon / juniper group,R1 Pinyon Juniper - Western Softwoods
Ponderosa pine group,R1 Ponderosa Pine
Western larch group,R1 Western larch group
Western white pine group,R1 Fir / spruce / mountain hemlock group
Aspen / birch group,R10 Sitka Spruce - Alluvial
Spruce / fir group,R10 Black Spruce
Fir / spruce / mountain hemlock group,R10 Mixed conifer
Hemlock / Sitka spruce group,R10 Mixed conifer
Lodgepole pine group,R10 Mixed conifer
Fir / spruce / mountain hemlock group,R10 Mountain hemlock
Hemlock / Sitka spruce group,R10 Mountain hemlock
Lodgepole pine group,R10 Mountain hemlock
Hemlock / Sitka spruce group,R10 Sitka Spruce - Alluvial
Elm / ash / cottonwood group,R10 Sitka Spruce - Alluvial
Fir / spruce / mountain hemlock group,R10 Sitka Spruce - Alluvial
Alder / maple group,R10 Sitka Spruce - Alluvial
Hemlock / Sitka spruce group,R10 Sitka Spruce - Other
Fir / spruce / mountain hemlock group,R10 Sitka Spruce - Other
Alder / maple group,R10 Sitka Spruce - Other
Elm / ash / cottonwood group,R10 Sitka Spruce - Other
Lodgepole pine group,R10 Sitka Spruce - Other
Aspen / birch group,R10 Sitka Spruce - Other
Lodgepole pine group,R10 Western Hemlock - poorly Drained
Alder / maple group,R10 Western Hemlock - poorly Drained
Elm / ash / cottonwood group,R10 Western Hemlock - poorly Drained
Hemlock / Sitka spruce group,R10 Western Hemlock - poorly Drained
Fir / spruce / mountain hemlock group,R10 Western Hemlock - poorly Drained
Hemlock / Sitka spruce group,R10 Western Hemlock - well Drained
Fir / spruce / mountain hemlock group,R10 Western Hemlock - well Drained
Lodgepole pine group,R10 Western Hemlock - well Drained
Alder / maple group,R10 Western Hemlock - well Drained
Elm / ash / cottonwood group,R10 Western Hemlock - well Drained
Hemlock / Sitka spruce group,R10 Western Hemlock / Alaska yellow cedar
Fir / spruce / mountain hemlock group,R10 Western Hemlock / Alaska yellow cedar
Lodgepole pine group,R10 Western Hemlock / Alaska yellow cedar
Hemlock / Sitka spruce group,R10 Western Hemlock / western red cedar
Lodgepole pine group,R10 Western Hemlock / western red cedar
Fir / spruce / mountain hemlock group,R10 Western Hemlock / western red cedar
Alder / maple group,R10 Western Hemlock / western red cedar
Spruce / fir group,R10 White spruce
Elm / ash / cottonwood group,R10 White spruce
