Vegetation Class,Walkdown,Indicators,Correlation,Threshold,Weight
R1 Douglas fir,0.86,ddiscore,0.41,32.18,0.28
,,badom,0.39,82.49,0.27
,,QMDdom,0.39,10.31,0.27
,,HTquart,0.26,48.22,0.18
R1 Fir / spruce / mountain hemlock group,0.8,ddiscore,0.52,24,0.44
,,HTsd,0.35,49.52,0.3
,,HTquart,0.31,38.89,0.26
R1 Hardwoods,0.77,ddiscore,0.61,22.39,0.31
,,badom,0.56,58.83,0.28
,,HTquart,0.53,36.84,0.27
,,HTsd,0.28,27.03,0.14
R1 Hemlock / Sitka spruce group,0.86,ddiscore,0.64,44.99,0.38
,,HTsd,0.47,69.17,0.28
,,HTquart,0.34,68.79,0.2
,,tpadom,-0.22,83.98,0.13
R1 Lodgepole Pine,0.49,HTquart,0.58,25.3,0.28
,,ddiscore,0.54,14.62,0.26
,,badom,0.53,44.84,0.26
,,HTsd,0.39,23.9,0.19
R1 Pinyon Juniper - Western Softwoods,0.8,ddiscore,0.61,24,0.3
,,HTquart,0.52,28.74,0.25
,,QMDdom,0.5,6.98,0.25
,,HTsd,0.41,29.51,0.2
R1 Ponderosa Pine,0.83,ddiscore,0.55,30.66,0.36
,,QMDdom,0.53,12.62,0.34
,,HTsd,0.46,39.94,0.3
R1 Western larch group,0.93,QMDdom,0.65,15.82,0.31
,,ddiscore,0.65,52.95,0.31
,,HTsd,0.43,80.68,0.21
,,tpadom,-0.34,69.02,0.16
R10 Black Spruce,0.74,HTsd,0.54,8.59,0.43
,,tpadom,0.32,13.36,0.26
,,snagbatot,-0.39,6.39,0.31
R10 Mixed conifer,0.71,ddiscore,0.51,21.3,0.58
,,snagbatot,0.37,16.6,0.42
R10 Mountain hemlock,0.71,HTsd,0.43,29.74,0.32
,,QMDdom,0.34,6.19,0.25
,,snagbatot,0.31,8.48,0.23
,,badom,0.27,60.08,0.2
R10 Sitka Spruce - Alluvial,0.69,QMDdom,0.68,8.19,0.38
,,snagbatot,0.52,3.78,0.29
,,HTsd,0.35,32.93,0.2
,,tpadom,-0.24,87.22,0.13
R10 Sitka Spruce - Other,0.82,ddiscore,0.44,45.32,0.29
,,HTsd,0.36,57.21,0.24
,,badom,0.28,123.12,0.18
,,HTquart,0.2,48.71,0.13
,,tpadom,-0.24,80.73,0.16
R10 Western Hemlock - poorly Drained,0.72,ddiscore,0.62,15.77,0.59
,,snagbatot,0.43,18.58,0.41
R10 Western Hemlock - well Drained,0.86,QMDdom,0.66,12.97,0.55
,,snagbatot,0.26,20.12,0.22
,,tpadom,-0.28,48.99,0.23
R10 Western Hemlock / Alaska yellow cedar,0.82,HTsd,0.5,47.14,0.37
,,badom,0.49,92.59,0.36
,,snagbatot,0.36,25.09,0.27
R10 Western Hemlock / western red cedar,0.71,ddiscore,0.4,42.6,0.27
,,snagbatot,0.32,35.46,0.21
,,HTsd,0.23,48.98,0.15
,,HTquart,0.2,35.22,0.13
,,tpadom,-0.35,118.66,0.23
R10 White spruce,0.66,HTquart,0.58,25.32,0.7
,,HTsd,0.25,21.12,0.3
R2 Aspen / Cottonwood / Oaks,0.62,HTquart,0.67,34.44,0.31
,,ddiscore,0.59,18.6,0.27
,,badom,0.56,55.62,0.26
,,HTsd,0.33,23.73,0.15
R2 Douglas fir,0.86,ddiscore,0.48,35.11,0.3
,,badom,0.33,66.9,0.21
,,HTquart,0.28,38.79,0.18
,,QMDdom,0.27,9.32,0.17
,,snagbatot,0.24,23.63,0.15
R2 Gambel Oak,0.8,badom,0.32,25.39,0.3
,,ddiscore,0.26,8,0.25
,,HTquart,0.25,10.63,0.24
,,QMDdom,0.22,2.88,0.21
R2 Lodgepole Pine,0.49,QMDdom,0.6,3.76,0.46
,,badom,0.5,34.12,0.38
,,HTsd,0.2,18.82,0.15
R2 Other Western Softwoods,0.8,ddiscore,0.69,24,0.32
,,QMDdom,0.61,6.63,0.29
,,HTquart,0.51,28.43,0.24
,,HTsd,0.33,21.03,0.15
R2 Pinyon-Juniper,0.8,ddiscore,0.51,32.92,0.55
,,QMDdom,0.42,8.79,0.45
R2 Ponderosa Pine,0.83,QMDdom,0.42,11.88,0.33
,,ddiscore,0.35,31.71,0.28
,,HTsd,0.27,38.89,0.21
,,badom,0.23,67.3,0.18
R2 Spruce / Fir ,0.79,ddiscore,0.57,31.04,0.31
,,badom,0.51,87.14,0.27
,,HTquart,0.45,44.27,0.24
,,HTsd,0.33,45.74,0.18
R3 Hardwoods,0.77,QMDdom,0.64,3.41,0.34
,,ddiscore,0.63,7.7,0.34
,,HTquart,0.37,10.98,0.2
,,tpadom,-0.22,78.16,0.12
R3 Juniper Grass,0.8,QMDdom,0.59,10.67,0.3
,,HTquart,0.54,11.2,0.27
,,ddiscore,0.53,19,0.27
